source,id,kp,dir,t_ms,theta,v
test kp20.txt,1,-20.0,-1,260.000,-0.0988,0.301
test kp20.txt,1,-20.0,-1,261.000,-0.1003,-0.265
test kp20.txt,1,-20.0,-1,262.000,-0.1017,-0.294
test kp20.txt,1,-20.0,-1,263.000,-0.0985,0.308
test kp20.txt,1,-20.0,-1,264.000,-0.0974,0.33
test kp20.txt,1,-20.0,-1,265.000,-0.0966,0.344
test kp20.txt,1,-20.0,-1,266.000,-0.0977,0.322
test kp20.txt,1,-20.0,-1,267.000,-0.0955,0.366
test kp20.txt,1,-20.0,-1,268.000,-0.1014,-0.287
test kp20.txt,1,-20.0,-1,269.000,-0.0985,0.308
test kp20.txt,1,-20.0,-1,270.000,-0.0988,0.301
test kp20.txt,1,-20.0,-1,271.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,272.000,-0.1006,-0.272
test kp20.txt,1,-20.0,-1,273.000,-0.0992,0.293
test kp20.txt,1,-20.0,-1,274.000,-0.0974,0.33
test kp20.txt,1,-20.0,-1,275.000,-0.0795,0.687
test kp20.txt,1,-20.0,-1,276.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,277.000,-0.1003,-0.265
test kp20.txt,1,-20.0,-1,278.000,-0.1065,-0.389
test kp20.txt,1,-20.0,-1,279.000,-0.0992,0.293
test kp20.txt,1,-20.0,-1,280.000,-0.0985,0.308
test kp20.txt,1,-20.0,-1,281.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,282.000,-0.097,0.337
test kp20.txt,1,-20.0,-1,283.000,-0.0996,0.286
test kp20.txt,1,-20.0,-1,284.000,-0.0985,0.308
test kp20.txt,1,-20.0,-1,285.000,-0.1021,-0.301
test kp20.txt,1,-20.0,-1,286.000,-0.097,0.337
test kp20.txt,1,-20.0,-1,287.000,-0.0996,0.286
test kp20.txt,1,-20.0,-1,288.000,-0.0985,0.308
test kp20.txt,1,-20.0,-1,289.000,-0.0992,0.293
test kp20.txt,1,-20.0,-1,290.000,-0.0996,0.286
test kp20.txt,1,-20.0,-1,291.000,-0.1028,-0.316
test kp20.txt,1,-20.0,-1,292.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,293.000,-0.101,-0.279
test kp20.txt,1,-20.0,-1,294.000,-0.0999,0.279
test kp20.txt,1,-20.0,-1,295.000,-0.0988,0.301
test kp20.txt,1,-20.0,-1,296.000,-0.1017,-0.294
test kp20.txt,1,-20.0,-1,297.000,-0.0985,0.308
test kp20.txt,1,-20.0,-1,298.000,-0.0985,0.308
test kp20.txt,1,-20.0,-1,299.000,-0.0992,0.293
test kp20.txt,1,-20.0,-1,300.000,-0.0996,0.286
test kp20.txt,1,-20.0,-1,301.000,-0.1014,-0.287
test kp20.txt,1,-20.0,-1,302.000,-0.1014,-0.287
test kp20.txt,1,-20.0,-1,303.000,-0.1017,-0.294
test kp20.txt,1,-20.0,-1,304.000,-0.1006,-0.272
test kp20.txt,1,-20.0,-1,305.000,-0.0992,0.293
test kp20.txt,1,-20.0,-1,306.000,-0.0988,0.301
test kp20.txt,1,-20.0,-1,307.000,-0.0955,0.366
test kp20.txt,1,-20.0,-1,308.000,-0.1003,-0.265
test kp20.txt,1,-20.0,-1,309.000,-0.0992,0.293
test kp20.txt,1,-20.0,-1,310.000,-0.1006,-0.272
test kp20.txt,1,-20.0,-1,311.000,-0.0985,0.308
test kp20.txt,1,-20.0,-1,312.000,-0.0966,0.344
test kp20.txt,1,-20.0,-1,313.000,-0.1032,-0.323
test kp20.txt,1,-20.0,-1,314.000,-0.0985,0.308
test kp20.txt,1,-20.0,-1,315.000,-0.0985,0.308
test kp20.txt,1,-20.0,-1,316.000,-0.0985,0.308
test kp20.txt,1,-20.0,-1,317.000,-0.0985,0.308
test kp20.txt,1,-20.0,-1,318.000,-0.0988,0.301
test kp20.txt,1,-20.0,-1,319.000,-0.1006,-0.272
